Date;Price;Open;High;Low;Vol.;Change %
24/11/2021;57,171.7;57,559.4;57,697.4;55,910.6;56.68K;-0,7
26/11/2021;53,730.9;58,937.3;59,151.1;53,533.5;104.03K;-8,83
29/11/2021;57,794.8;57,288.1;58,855.2;56,726.7;58.65K;0,88
30/11/2021;56,882.9;57,795.2;59,174.4;55,936.9;73.66K;-1,58
1/12/2021;57,210.3;56,891.7;59,064.3;56,496.5;66.75K;0,58
2/12/2021;56,496.0;57,207.8;57,377.5;55,807.9;54.94K;-1,25
3/12/2021;53,631.5;56,495.2;57,543.6;52,008.9;89.20K;-5,07
6/12/2021;50,562.1;49,412.1;50,913.3;47,237.9;89.68K;2,34
7/12/2021;50,595.2;50,547.4;51,918.6;50,070.9;56.29K;0,07
8/12/2021;50,473.9;50,596.6;51,204.7;48,700.7;55.59K;-0,24
9/12/2021;47,596.6;50,477.6;50,790.2;47,341.9;58.69K;-5,7
10/12/2021;47,137.2;47,591.7;49,974.8;47,007.1;68.06K;-0,97
13/12/2021;46,703.6;50,075.9;50,196.1;45,848.2;80.37K;-6,74
14/12/2021;48,366.5;46,709.8;48,635.0;46,338.3;62.54K;3,56
15/12/2021;48,871.5;48,366.2;49,477.9;46,572.6;80.28K;1,04
16/12/2021;47,628.2;48,876.6;49,387.8;47,543.9;48.20K;-2,54
17/12/2021;46,172.2;47,630.4;47,997.2;45,523.8;67.50K;-3,06
20/12/2021;46,895.2;46,703.4;47,488.9;45,577.3;57.53K;0,41
21/12/2021;48,902.0;46,900.1;49,306.1;46,654.0;57.88K;4,28
22/12/2021;48,599.7;48,898.7;49,540.3;48,449.7;40.89K;-0,62
23/12/2021;50,801.0;48,599.6;51,355.6;48,053.4;56.24K;4,53
27/12/2021;50,678.2;50,783.6;52,016.3;50,459.0;43.90K;-0,2
28/12/2021;47,545.2;50,703.4;50,703.8;47,345.7;74.39K;-6,18
29/12/2021;46,461.7;47,548.4;48,121.7;46,127.8;63.92K;-2,28
30/12/2021;47,123.3;46,470.7;47,901.4;46,003.0;60.96K;1,42
31/12/2021;46,219.5;47,123.3;48,553.9;45,693.6;58.18K;-1,92
3/01/2022;46,430.2;47,293.9;47,556.0;45,704.0;41.06K;-1,86
4/01/2022;45,837.3;46,435.7;47,505.4;45,602.1;55.59K;-1,28
5/01/2022;43,425.9;45,833.1;47,019.4;42,535.1;83.74K;-5,26
6/01/2022;43,097.5;43,431.6;43,772.3;42,481.1;63.08K;-0,76
7/01/2022;41,546.7;43,097.9;43,127.7;40,810.0;88.36K;-3,6
10/01/2022;41,832.2;41,848.9;42,243.8;39,697.0;85.50K;-0,04
11/01/2022;42,733.2;41,829.1;43,090.2;41,287.6;61.78K;2,15
12/01/2022;43,901.0;42,735.0;44,243.6;42,476.7;53.95K;2,73
13/01/2022;42,560.0;43,900.0;44,404.7;42,337.5;53.42K;-3,05
14/01/2022;43,073.3;42,562.2;43,435.1;41,848.7;50.50K;1,21
18/01/2022;42,364.6;42,209.9;42,674.2;41,300.7;47.32K;0,37
19/01/2022;41,677.8;42,365.3;42,558.0;41,160.9;53.77K;-1,62
20/01/2022;40,715.9;41,683.6;43,487.1;40,568.3;65.28K;-2,31
21/01/2022;36,475.5;40,698.1;41,104.6;35,503.9;155.80K;-10,41
24/01/2022;36,686.3;36,268.6;37,424.0;32,985.6;153.77K;1,15
25/01/2022;36,950.6;36,691.3;37,501.8;35,729.3;79.68K;0,72
26/01/2022;36,800.4;36,962.3;38,862.6;36,280.0;107.87K;-0,41
27/01/2022;37,164.3;36,800.1;37,215.4;35,543.2;83.52K;0,99
28/01/2022;37,745.1;37,195.6;37,995.9;36,176.5;69.45K;1,56
31/01/2022;38,498.6;37,923.8;38,701.4;36,672.8;61.27K;1,53
1/02/2022;38,709.7;38,475.6;39,230.0;38,037.9;55.20K;0,55
2/02/2022;36,890.2;38,711.2;38,853.8;36,682.3;53.74K;-4,7
3/02/2022;37,287.8;36,890.2;37,304.3;36,297.3;50.35K;1,08
4/02/2022;41,567.6;37,287.8;41,689.0;37,041.1;95.49K;11,48
7/02/2022;43,833.9;42,385.2;44,468.3;41,695.4;76.60K;3,4
8/02/2022;44,038.2;43,833.9;45,399.8;42,705.0;92.88K;0,47
9/02/2022;44,388.9;44,038.2;44,800.4;43,163.0;50.92K;0,8
10/02/2022;43,521.0;44,388.9;45,755.2;43,242.5;89.69K;-1,96
11/02/2022;42,388.4;43,519.3;43,915.1;42,023.4;69.95K;-2,6
14/02/2022;42,550.3;42,061.1;42,799.7;41,591.3;53.60K;1,16
15/02/2022;44,544.4;42,550.3;44,722.6;42,460.1;56.34K;4,69
16/02/2022;43,883.6;44,540.9;44,552.9;43,377.6;41.40K;-1,48
17/02/2022;40,552.8;43,885.5;44,167.1;40,103.8;72.63K;-7,59
18/02/2022;40,000.1;40,532.5;40,935.5;39,505.0;64.96K;-1,36
22/02/2022;38,248.2;37,018.3;38,414.9;36,399.6;82.75K;3,32
23/02/2022;37,224.6;38,248.2;39,194.5;37,099.5;64.84K;-2,68
24/02/2022;38,339.2;37,250.2;39,351.6;34,357.4;180.47K;2,99
25/02/2022;39,209.6;38,339.2;39,683.7;38,042.6;83.78K;2,27
28/02/2022;43,188.2;37,707.2;43,977.8;37,458.9;108.07K;14,59
1/03/2022;44,420.3;43,187.2;44,900.5;42,876.6;90.67K;2,85
2/03/2022;43,912.8;44,420.3;45,294.2;43,361.3;80.82K;-1,14
3/03/2022;42,463.0;43,912.8;44,077.2;41,840.8;74.11K;-3,3
4/03/2022;39,142.7;42,463.0;42,848.7;38,594.9;3.21B;-7,82
7/03/2022;38,024.8;38,420.6;39,532.0;37,182.1;3.02B;-0,99
8/03/2022;38,744.8;38,020.6;39,351.5;37,886.6;2.67B;1,89
9/03/2022;41,929.0;38,731.5;42,538.5;38,663.3;3.60B;8,22
10/03/2022;39,416.3;41,933.9;42,029.1;38,603.5;3.62B;-5,99
11/03/2022;38,730.2;39,422.5;40,177.0;38,236.4;2.79B;-1,74
14/03/2022;39,671.1;37,789.5;39,914.3;37,613.6;2.33B;4,97
15/03/2022;39,285.7;39,673.0;39,854.7;38,220.9;2.25B;-0,97
16/03/2022;41,118.7;39,282.5;41,701.6;38,953.2;4.47B;4,67
